Language,original,german,english,czech,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
rl_message_invite2,Press CTRL + J to join.,eingeladen. Drücke STRG + J zum Beitreten.,Press CTRL + J to join.,Press CTRL + J to join.,Press CTRL + J to join.,"Przyciśnij CTRL + J , aby dołączyć.",Press CTRL + J to join.,Press CTRL + J to join.,Pulsa CTRL + J para entrar.,Press CTRL + J to join.,Press CTRL + J to join.,按CTRL+J组合键进行连接.,Press CTRL + J to join.,按CTRL+J组合键进行连接.
rl_message_youalreadyInGroup,You are already in a Group !,Du bist bereits in einer Gruppe !,You are already in a Group !,You are already in a Group !,You are already in a Group !,Należysz już do grupy !,You are already in a Group !,You are already in a Group !,Ya estas en este Clan !,You are already in a Group !,You are already in a Group !,您已经在一个组中 !,You are already in a Group !,您已经在一个组中 !
rl_message_squadRequiredToSetupPlotpole,You need to have a group to setup the FlagPole !,"Du brauchst eine Gruppe, um eine Flagge aufzustellen !",You need to have a group to setup the FlagPole !,You need to have a group to setup the FlagPole !,You need to have a group to setup the FlagPole !,"Potrzebujesz grupy, aby postawić flagę !",You need to have a group to setup the FlagPole !,You need to have a group to setup the FlagPole !,Necesitas tener un Clan para instalar una bandera !,You need to have a group to setup the FlagPole !,You need to have a group to setup the FlagPole !,你需要一个团队来设置旗杆 !,You need to have a group to setup the FlagPole !,你需要一个团队来设置旗杆 !
rl_message_maxPlotpoleReached,Maximum amount of Flagpoles reached !,Maximale Anzahl an Flagpoles erreicht,Maximum amount of Flagpoles reached !,Maximum amount of Flagpoles reached !,Maximum amount of Flagpoles reached !,Osiągnałeś maksymalną ilość flag !,Maximum amount of Flagpoles reached !,Maximum amount of Flagpoles reached !,Maximo de banderas alcanzado !,Maximum amount of Flagpoles reached !,Maximum amount of Flagpoles reached !,达到的旗杆最大数量 !,Maximum amount of Flagpoles reached !,达到的旗杆最大数量 !
rl_action_claim_flag,Claim Flag,Flagge übernehmen,Claim Flag,Claim Flag,Claim Flag,Przejmij flagę,Claim Flag,Claim Flag,Reclamar bandera,Claim Flag,Claim Flag,索赔标志,Claim Flag,索赔标志
rl_chat_text_size,Chat Text Size:,Chat Textgröße,Chat Text Size:,Chat Text Size:,Chat Text Size:,Rozmiar czcionki czatu:,Chat Text Size:,Chat Text Size:,Tamañao del Chat:,Chat Text Size:,Chat Text Size:,聊天文本大小:,Chat Text Size:,聊天文本大小:
rl_ping_icon_size,Ping Icon Size:,Ping Icongröße,Ping Icon Size:,Ping Icon Size:,Ping Icon Size:,Rozmiar szybkiego znacznika:,Ping Icon Size:,Ping Icon Size:,Tamaño del icono:,Ping Icon Size:,Ping Icon Size:,Ping图标大小:,Ping Icon Size:,Ping图标大小:
rl_show_chat_tag,Show Group Tag in Chat,Zeige Gruppen Tag im Chat,Show Group Tag in Chat,Show Group Tag in Chat,Show Group Tag in Chat,Pokaż TAG grupy na czacie,Show Group Tag in Chat,Show Group Tag in Chat,Mostrar Tag de Clan en el chat,Show Group Tag in Chat,Show Group Tag in Chat,在聊天中显示组标记,Show Group Tag in Chat,在聊天中显示组标记
rl_message_onlyDeployInOwnTerritorry,You need a Territorry to deploy this Object !,"Du brauchst ein Territorium, um das Objekt zu platzieren !",You need a Territorry to deploy this Object !,You need a Territorry to deploy this Object !,You need a Territorry to deploy this Object !,"Potrzebujesz terytorium, aby postawić ten obiekt !",You need a Territorry to deploy this Object !,You need a Territorry to deploy this Object !,Necesitas un Territorio para instalar este objeto !,You need a Territorry to deploy this Object !,You need a Territorry to deploy this Object !,您需要一个领地来部署此对象 !,You need a Territorry to deploy this Object !,您需要一个领地来部署此对象 !
rl_message_squadRequiredToDeployObjects,You need a Group to deploy this Object !,"Du brauchst eine Gruppe, um das Objekt aufzustellen !",You need a Group to deploy this Object !,You need a Group to deploy this Object !,You need a Group to deploy this Object !,"Potrzebujesz grupy, aby postawić ten obiekt !",You need a Group to deploy this Object !,You need a Group to deploy this Object !,Necesitas formar parte de un Clan para instalar este objeto !,You need a Group to deploy this Object !,You need a Group to deploy this Object !,您需要一个组来部署此对象 !,You need a Group to deploy this Object !,您需要一个组来部署此对象 !
rl_playerlist_style,Player List Style:,Spieler Liste:,Player List Style:,Player List Style:,Player List Style:,Wygląd listy graczy:,Player List Style:,Player List Style:,Estilo de la lista de jugadores:,Player List Style:,Player List Style:,玩家名单风格:,Player List Style:,玩家名单风格:
rl_refresh,Refresh,Aktualisieren,Refresh,Refresh,Refresh,Odśwież,Refresh,Refresh,Recargar,Refresh,Refresh,刷新,Refresh,刷新
rl_header_grp_management,Group Management,Gruppenverwaltung,Group Management,Group Management,Group Management,Zarządzanie grupą,Group Management,Group Management,Clan manager,Group Management,Group Management,集团管理,Group Management,集团管理
rl_header_group_info,Group Information,Gruppen Informationen,Group Information,Group Information,Group Information,Informacja grupy,Group Information,Group Information,Informacion del Clan,Group Information,Group Information,小组信息,Group Information,小组信息
rl_btn_copy_coords,Copy Player Coordinates,Koordinaten kopieren,Copy Player Coordinates,Copy Player Coordinates,Copy Player Coordinates,Skopiuj swoje współrzędne,Copy Player Coordinates,Copy Player Coordinates,Copiar coordenadas del jugador,Copy Player Coordinates,Copy Player Coordinates,复制玩家坐标,Copy Player Coordinates,复制玩家坐标
rl_drag_markers,Drag Markers,Marker verschieben,Drag Markers,Drag Markers,Drag Markers,Przeciągnij znacznik,Drag Markers,Drag Markers,Desmarcar,Drag Markers,Drag Markers,拖动标记,Drag Markers,拖动标记
rl_zones_list,No Build Zones:,keine Bauzonen:,No Build Zones:,No Build Zones:,No Build Zones:,Strefy bez budowania:,No Build Zones:,No Build Zones:,Zono restringida de constuccion:,No Build Zones:,No Build Zones:,禁止建造区:,No Build Zones:,禁止建造区:
rl_zones_add,Add new Zone,Verbotszone hinzufügen,Add new Zone,Add new Zone,Add new Zone,Dodaj nową strefę,Add new Zone,Add new Zone,Añadir nueva zona,Add new Zone,Add new Zone,添加新区域,Add new Zone,添加新区域
rl_zones_desc_radius,Zone Radius:,Zonen Radius:,Zone Radius:,Zone Radius:,Zone Radius:,Zasięg strefy:,Zone Radius:,Zone Radius:,Radio de la zona:,Zone Radius:,Zone Radius:,区域半径:,Zone Radius:,区域半径:
rl_zones_desc_name,Zone Name:,Zonen Name:,Zone Name:,Zone Name:,Zone Name:,Nazwa strefy:,Zone Name:,Zone Name:,Nombre de la zona:,Zone Name:,Zone Name:,区域名称:,Zone Name:,区域名称:
rl_gps_size,GPS Size:,GPS Größe:,GPS Size:,GPS Size:,GPS Size:,Rozmiar GPS:,GPS Size:,GPS Size:,Tamaño del GPS:,GPS Size:,GPS Size:,GPS 尺寸:,GPS Size:,GPS 尺寸:
rl_gps_zoom,GPS Zoom:,GPS Zoom:,GPS Zoom:,GPS Zoom:,GPS Zoom:,Powiększenie GPS:,GPS Zoom:,GPS Zoom:,GPS Zoom:,GPS Zoom:,GPS Zoom:,GPS 变焦:,GPS Zoom:,GPS 变焦:
rl_enable_gps_info,"Enable GPS (default Toggle Keybind: ""B"")","GPS Aktivieren (Standard Key: ""H""","Enable GPS (default Toggle Keybind: ""B"")","Enable GPS (default Toggle Keybind: ""B"")","Enable GPS (default Toggle Keybind: ""B"")","Włącz GPS (domyślnie: B"")","Enable GPS (default Toggle Keybind: ""B"")","Enable GPS (default Toggle Keybind: ""B"")","Activar GPS (Tecla por defecto: ""B"")","Enable GPS (default Toggle Keybind: ""B"")","Enable GPS (default Toggle Keybind: ""B"")","启用GPS（默认切换键绑定）: ""B"")","Enable GPS (default Toggle Keybind: ""B"")","启用GPS（默认切换键绑定）: ""B"")"
rl_show_no_build_info,Show No Build Zones:,Bauverbotszonen anzeigen:,Show No Build Zones:,Show No Build Zones:,Show No Build Zones:,Pokaż strefy bez budowania:,Show No Build Zones:,Show No Build Zones:,Mostrar zonas restringidas:,Show No Build Zones:,Show No Build Zones:,显示无构建区域:,Show No Build Zones:,显示无构建区域:
rl_playermarker_pos,Player Marker Position:,Spieler Marker Position:,Player Marker Position:,Player Marker Position:,Player Marker Position:,Pozycja znacznika gracza:,Player Marker Position:,Player Marker Position:,Marca de la posicion del jugador:,Player Marker Position:,Player Marker Position:,玩家标记位置:,Player Marker Position:,玩家标记位置:
"rl_txt_delete","Delete","Löschen", "Delete", "Delete", "Delete", "Delete", "Delete", "Delete", "Delete", "Delete", "Delete", "Delete", "Delete", "Delete",
"rl_txt_ok", "OK", "OK", "OK", "OK", "OK", "OK", "OK", "OK", "OK", "OK", "OK", "OK", "OK", "OK",
"rl_txt_enable_no_build_zones", "Enable No Build Zones", "Verbotszonen aktivieren", "Enable No Build Zones", "Enable No Build Zones", "Enable No Build Zones", "Enable No Build Zones", "Enable No Build Zones", "Enable No Build Zones", "Enable No Build Zones", "Enable No Build Zones", "Enable No Build Zones", "Enable No Build Zones", "Enable No Build Zones", "Enable No Build Zones",
"rl_txt_save_all", "Save all", "Speichern", "Save all", "Save all", "Save all", "Save all", "Save all", "Save all", "Save all", "Save all", "Save all", "Save all", "Save all", "Save all",
"rl_txt_toggle_placing", "Toggle Placing", "Platzieren umschalten", "Toggle Placing", "Toggle Placing", "Toggle Placing", "Toggle Placing", "Toggle Placing", "Toggle Placing", "Toggle Placing", "Toggle Placing", "Toggle Placing", "Toggle Placing", "Toggle Placing", "Toggle Placing",
"rl_txt_show_all_teritorryFlags", "Show All Territorry Flags", "Alle Flaggen anzeigen", "Show All Territorry Flags", "Show All Territorry Flags", "Show All Territorry Flags", "Show All Territorry Flags", "Show All Territorry Flags", "Show All Territorry Flags", "Show All Territorry Flags", "Show All Territorry Flags", "Show All Territorry Flags", "Show All Territorry Flags", "Show All Territorry Flags", "Show All Territorry Flags",
"rl_edit_marker", "Edit Marker", "Marker bearbeiten", "Edit Marker", "Edit Marker", "Edit Marker", "Edit Marker", "Edit Marker", "Edit Marker", "Edit Marker", "Edit Marker", "Edit Marker", "Edit Marker", "Edit Marker", "Edit Marker",
"rl_copied_user_details", "User Details Copied to Clipboard", "Spieler Infos in Zwischenablage kopiert", "User Details Copied to Clipboard", "User Details Copied to Clipboard", "User Details Copied to Clipboard", "User Details Copied to Clipboard", "User Details Copied to Clipboard", "User Details Copied to Clipboard", "User Details Copied to Clipboard", "User Details Copied to Clipboard", "User Details Copied to Clipboard", "User Details Copied to Clipboard", "User Details Copied to Clipboard", "User Details Copied to Clipboard",
"rl_invite_name", "Your Invite Name:", "Dein Name:", "Your Invite Name:", "Your Invite Name:", "Your Invite Name:", "Your Invite Name:", "Your Invite Name:", "Your Invite Name:", "Your Invite Name:", "Your Invite Name:", "Your Invite Name:", "Your Invite Name:", "Your Invite Name:", "Your Invite Name:",
"rl_copied_user_position", "Player Coordinates copied to Clipboard", "Spieler Koordinaten in Zwischenablage kopiert", "Player Coordinates copied to Clipboard", "Player Coordinates copied to Clipboard", "Player Coordinates copied to Clipboard", "Player Coordinates copied to Clipboard", "Player Coordinates copied to Clipboard", "Player Coordinates copied to Clipboard", "Player Coordinates copied to Clipboard", "Player Coordinates copied to Clipboard", "Player Coordinates copied to Clipboard", "Player Coordinates copied to Clipboard", "Player Coordinates copied to Clipboard", "Player Coordinates copied to Clipboard",
"rl_page_admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin",
"rl_page_settings", "Settings", "Einstellungen", "Settings", "Settings", "Settings", "Settings", "Settings", "Settings", "Settings", "Settings", "Settings", "Settings", "Settings", "Settings",
"rl_page_group", "Group", "Gruppe", "Group", "Group", "Group", "Group", "Group", "Group", "Group", "Group", "Group", "Group", "Group", "Group",
"rl_page_info", "Info", "Info", "Info", "Info", "Info", "Info", "Info", "Info", "Info", "Info", "Info", "Info", "Info", "Info",
"rl_page_markers", "Markers", "Marker", "Markers", "Markers", "Markers", "Markers", "Markers", "Markers", "Markers", "Markers", "Markers", "Markers", "Markers", "Markers",
"rl_page_no_build", "No Build", "Bauverbotszonen", "No Build", "No Build", "No Build", "No Build", "No Build", "No Build", "No Build", "No Build", "No Build", "No Build", "No Build", "No Build",
"rl_input_open_map", "Open Map", "Karte öffnen", "Open Map", "Open Map", "Open Map", "Open Map", "Open Map", "Open Map", "Open Map", "Open Map", "Open Map", "Open Map", "Open Map", "Open Map",
"rl_input_open_map_group", "Open Group Page", "Gruppen Seite öffnen", "Open Group Page", "Open Group Page", "Open Group Page", "Open Group Page", "Open Group Page", "Open Group Page", "Open Group Page", "Open Group Page", "Open Group Page", "Open Group Page", "Open Group Page", "Open Group Page",
"rl_input_tactical_ping", "Tactical Ping", "Taktischer Ping", "Tactical Ping", "Tactical Ping", "Tactical Ping", "Tactical Ping", "Tactical Ping", "Tactical Ping", "Tactical Ping", "Tactical Ping", "Tactical Ping", "Tactical Ping", "Tactical Ping", "Tactical Ping",
"rl_input_clear_tactical_ping", "Clear Tactical Ping", "Taktischen Ping löschen", "Clear Tactical Ping", "Clear Tactical Ping", "Clear Tactical Ping", "Clear Tactical Ping", "Clear Tactical Ping", "Clear Tactical Ping", "Clear Tactical Ping", "Clear Tactical Ping", "Clear Tactical Ping", "Clear Tactical Ping", "Clear Tactical Ping", "Clear Tactical Ping",
"rl_input_accept_invite", "Accept Invite", "Gruppen-Einladung annehmen", "Accept Invite", "Accept Invite", "Accept Invite", "Accept Invite", "Accept Invite", "Accept Invite", "Accept Invite", "Accept Invite", "Accept Invite", "Accept Invite", "Accept Invite", "Accept Invite",
"rl_input_delete_marker", "Delete Marker", "Marker löschen", "Delete Marker", "Delete Marker", "Delete Marker", "Delete Marker", "Delete Marker", "Delete Marker", "Delete Marker", "Delete Marker", "Delete Marker", "Delete Marker", "Delete Marker", "Delete Marker",
"rl_input_toggle_visibility", "Toggle 3D Marker visibility", "3D Marker Anzeige umschalten", "Toggle 3D Marker visibility", "Toggle 3D Marker visibility", "Toggle 3D Marker visibility", "Toggle 3D Marker visibility", "Toggle 3D Marker visibility", "Toggle 3D Marker visibility", "Toggle 3D Marker visibility", "Toggle 3D Marker visibility", "Toggle 3D Marker visibility", "Toggle 3D Marker visibility", "Toggle 3D Marker visibility", "Toggle 3D Marker visibility",
"rl_input_chat_channel", "Switch Chat Channel", "Chat Channel ändern", "Switch Chat Channel", "Switch Chat Channel", "Switch Chat Channel", "Switch Chat Channel", "Switch Chat Channel", "Switch Chat Channel", "Switch Chat Channel", "Switch Chat Channel", "Switch Chat Channel", "Switch Chat Channel", "Switch Chat Channel", "Switch Chat Channel",
"rl_input_toggle_compass", "Toggle Compass", "Kompass umschalten", "Toggle Compass", "Toggle Compass", "Toggle Compass", "Toggle Compass", "Toggle Compass", "Toggle Compass", "Toggle Compass", "Toggle Compass", "Toggle Compass", "Toggle Compass", "Toggle Compass", "Toggle Compass",
"rl_input_toggle_playerlist", "Toggle Playerlist", "Spielerliste umschalten", "Toggle Playerlist", "Toggle Playerlist", "Toggle Playerlist", "Toggle Playerlist", "Toggle Playerlist", "Toggle Playerlist", "Toggle Playerlist", "Toggle Playerlist", "Toggle Playerlist", "Toggle Playerlist", "Toggle Playerlist", "Toggle Playerlist",
"rl_input_toggle_minimap", "Toggle Minimap", "Minimap umschalten", "Toggle Minimap", "Toggle Minimap", "Toggle Minimap", "Toggle Minimap", "Toggle Minimap", "Toggle Minimap", "Toggle Minimap", "Toggle Minimap", "Toggle Minimap", "Toggle Minimap", "Toggle Minimap", "Toggle Minimap",
"rl_sorting_RayLab", "RayLab", "RayLab", "RayLab", "RayLab", "RayLab", "RayLab", "RayLab", "RayLab", "RayLab", "RayLab", "RayLab", "RayLab", "RayLab", "RayLab",
"rl_sorting_group", "Group", "Gruppe", "Group", "Group", "Group", "Group", "Group", "Group", "Group", "Group", "Group", "Group", "Group", "Group",
"rl_sorting_admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin", "Admin",
"rl_global_chat", "Chat", "Chat", "Chat", "Chat", "Chat", "Chat", "Chat", "Chat", "Chat", "Chat", "Chat", "Chat", "Chat", "Chat", "Chat",
"rl_chat_channel", "Changed Text Channel to: ", "Text-Kanal geändert zu: ", "Changed Text Channel to: ", "Changed Text Channel to: ", "Changed Text Channel to: ", "Changed Text Channel to: ", "Changed Text Channel to: ", "Changed Text Channel to: ", "Changed Text Channel to: ", "Changed Text Channel to: ", "Changed Text Channel to: ", "Changed Text Channel to: ", "Changed Text Channel to: ", "Changed Text Channel to: ",
"ag_warning", "Warning", "Warnung", "Warning", "Warning", "Warning", "Warning", "Warning", "Warning", "Warning", "Warning", "Warning", "Warning", "Warning", "Warning",
"ag_ok", "Ok", "Okay", "Ok", "Ok", "Ok", "Ok", "Ok", "Ok", "Ok", "Ok", "Ok", "Ok", "Ok", "Ok",
"ag_warn_group_leave", "You are about to leave the group ! If you are the Leader, the next higher Member will become the new Leader. If you are the last member, the group will be deleted !", "Du bist dabei die Gruppe zu verlassen ! Bist du der Anführer, wird der nächst höhere Spieler der Anführer. Bist du der letzte Spieler, wird die Gruppe gelöscht !", "You are about to leave the group ! If you are the Leader, the next higher Member will become the new Leader. If you are the last member, the group will be deleted !", the group will be deleted !", the group will be deleted !", the group will be deleted !", the group will be deleted !", the group will be deleted !", the group will be deleted !", the group will be deleted !", the group will be deleted !", the group will be deleted !", the group will be deleted !", the group will be deleted !",
"ag_center_map_on_player", "Center Map on player on map open", "Karte auf Spieler Zentrieren", "Center Map on player on map open", "Center Map on player on map open", "Center Map on player on map open", "Center Map on player on map open", "Center Map on player on map open", "Center Map on player on map open", "Center Map on player on map open", "Center Map on player on map open", "Center Map on player on map open", "Center Map on player on map open", "Center Map on player on map open", "Center Map on player on map open",
